,DATE_TIME,TEMPERATURE,Dew_Point,Wind_Direction,Wind_Speed
102,2021-01-04 10:51:00,2.2,0.0,20.0,4.1
103,2021-01-04 11:51:00,2.2,-0.6,20.0,3.1
104,2021-01-04 12:51:00,2.2,-0.6,360.0,3.1
105,2021-01-04 13:51:00,2.2,-0.6,10.0,5.1
106,2021-01-04 14:34:00,3.3,-0.6,360.0,5.7
107,2021-01-04 14:51:00,3.3,0.0,10.0,6.7
108,2021-01-04 15:51:00,5.6,0.6,350.0,5.7
109,2021-01-04 16:51:00,6.1,-0.6,10.0,5.1
110,2021-01-04 17:51:00,7.2,-0.6,340.0,5.1
111,2021-01-04 18:51:00,6.1,0.0,330.0,6.2
112,2021-01-04 19:51:00,6.1,-0.6,330.0,4.6
113,2021-01-04 20:28:00,5.6,-0.6,340.0,6.2
114,2021-01-04 20:51:00,5.6,-1.1,330.0,5.7
115,2021-01-04 21:48:00,4.0,-1.0,320.0,5.1
116,2021-01-04 21:51:00,3.9,-1.1,320.0,5.1
117,2021-01-04 22:51:00,3.3,-1.1,350.0,5.1
118,2021-01-04 23:51:00,3.9,-0.6,350.0,4.6
119,2021-01-05 00:51:00,3.9,-0.6,10.0,4.1
120,2021-01-05 01:51:00,3.3,-0.6,360.0,4.6
121,2021-01-05 02:51:00,2.8,-0.6,360.0,4.1
122,2021-01-05 03:51:00,3.3,-0.6,360.0,3.6
123,2021-01-05 04:51:00,3.3,-0.6,350.0,3.6
124,2021-01-05 04:59:00,,,,
125,2021-01-05 05:51:00,3.3,-0.6,340.0,2.6
126,2021-01-05 06:51:00,2.8,-0.6,20.0,3.1
127,2021-01-05 07:51:00,2.8,-0.6,10.0,3.1
128,2021-01-05 08:51:00,2.8,-1.1,20.0,3.1
129,2021-01-05 09:51:00,2.8,-1.1,10.0,2.1
130,2021-01-05 10:51:00,2.8,-1.1,20.0,2.6
131,2021-01-05 11:51:00,2.8,-1.1,30.0,4.1
132,2021-01-05 12:51:00,2.8,-1.1,20.0,3.6
133,2021-01-05 13:51:00,3.9,-1.1,30.0,3.6
